,code,disorder,symptome
266,F90.0,Attention-Deficit/Hyperactivity Disorder,often runs climbs situations inappropriate note adolescents adults may limited feeling restless several inattentive hyperactive-impulsive symptoms present prior age 12 years
267,F90.0,Attention-Deficit/Hyperactivity Disorder,note symptoms solely manifestation oppositional behavior defiance hostility failure understand tasks instructions older adolescents adults age 17 older least five symptoms required
268,F95.0,Provisional tic disorder,tics may wax wane frequency persisted 1 year since first tic onset
269,F95.0,Provisional tic disorder,multiple motor one vocal tics present time illness although necessarily concurrently
270,F95.0,Provisional tic disorder,onset age 18 years
271,G47.20,Circadian Rhythm Sleep-Wake Disorders,persistent recurrent pattern sleep disruption primarily due alteration circadian system misalignment endogenous circadian rhythm sleepwake schedule required individuals physical environment social professional schedule
272,G47.20,Circadian Rhythm Sleep-Wake Disorders,sleep disruption leads excessive sleepiness insomnia
273,G47.35,Sleep-Related Hypoventilation,polysomnograpy demonstrates episodes decreased respiration associated elevated co2 levels note absence objective measurement co2 persistent low levels hemoglobin oxygen saturation unassociated apneic hypopneic events may indicate hypoventilation
274,G47.37,Central Sleep Apnea,evidence polysomnography five central apneas per hour sleep
275,G47.411,Narcolepsy with cataplexy but without hypocretin deficiency,recurrent periods irrepressible need sleep lapsing sleep napping occurring within day must occurring least three times per week past 3 months
276,G47.411,Narcolepsy with cataplexy but without hypocretin deficiency,nocturnal sleep polysomnography showing rapid eye movement rem sleep latency less equal 15 minutes multiple sleep latency test showing mean sleep latency less equal 8 minutes two sleep-onset rem periods
277,G47.411,Narcolepsy with cataplexy but without hypocretin deficiency,hypocretin deficiency measured using cerebrospinal fluid csf hypocretin-1 immunoreactivity values less equal one-third values obtained healthy subjects tested using assay less equal 110 pg ml low csf levels hypocretin-1 must observed context acute brain injury inflammation infection
278,G47.411,Narcolepsy with cataplexy but without hypocretin deficiency,episodes cataplexy defined either b occurring least times per month individuals long-standing disease brief seconds minutes episodes sudden bilateral loss muscle tone maintained consciousness precipitated laughter joking
279,G47.411,Narcolepsy with cataplexy but without hypocretin deficiency,children individuals within 6 months onset spontaneous grimaces jaw-opening episodes tongue thrusting global hypotonia without obvious emotional triggers
280,G47.419,Narcolepsy with cataplexy but without hypocretin deficiency,episodes cataplexy defined either b occurring least times per month episodes cataplexy defined either b occurring least times per month individuals long-standing disease brief seconds minutes episodes sudden bilateral loss muscle tone maintained consciousness precipitated laughter joking
281,G47.419,Narcolepsy with cataplexy but without hypocretin deficiency,individuals long-standing disease brief seconds minutes episodes sudden bilateral loss muscle tone maintained consciousness precipitated laughter joking
282,F06.1,Unspecified catatonia,mutism e little verbal response exclude known aphasia
283,F06.1,Unspecified catatonia,echolalia e mimicking anothers speech
284,F06.1,Unspecified catatonia,mutism e little verbal response note applicable established aphasia
285,F06.1,Unspecified catatonia,echopraxia e mimicking anothers movements
286,F06.1,Unspecified catatonia,mannerism e odd circumstantial caricature normal actions
287,F06.1,Unspecified catatonia,grimacing
288,F06.1,Unspecified catatonia,catalepsy e passive induction posture held gravity
289,F06.1,Unspecified catatonia,posturing e spontaneous active maintenance posture gravity
290,F06.1,Unspecified catatonia,waxy flexibility e slight even resistance positioning examiner
291,F06.1,Unspecified catatonia,stupor e psychomotor activity actively relating environment
292,F06.1,Unspecified catatonia,stereotypy e repetitive abnormally frequent non-goal-directed movements
293,F06.1,Unspecified catatonia,negativism e opposition response instructions external stimuli
294,F06.1,Unspecified catatonia,agitation influenced external stimuli
295,F06.1,Unspecified catatonia,disturbance occur exclusively course delirium
296,F06.1,Unspecified catatonia,evidence history physical examination laboratory findings disturbance direct pathophysiological consequence another medical condition
297,F06.4,Anxiety Disorder Due to Another Medical Condition,panic attacks anxiety predominant clinical picture
298,F06.8,Other specified mental disorder due to another medical condition,obsessions compulsions preoccupations appearance hoarding skin picking hair pulling body-focused repetitive behaviors symptoms characteristic obsessive-compulsive related disorder predominate clinical picture
299,F07.0,Personality Change Due to Another Medical Condition,note children disturbance involves marked deviation normal development significant change childs usual behavior patterns lasting least 1 year
300,F11.10,Opioid Use Disorder,withdrawal manifested either following tolerance defined either following characteristic opioid withdrawal syndrome refer criteria b criteria set opioid withdrawal pp 547548
301,F11.23,Opioid Withdrawal,dysphoric mood
302,F11.23,Opioid Withdrawal,yawning
303,F11.23,Opioid Withdrawal,insomnia
304,F11.23,Opioid Withdrawal,lacrimation rhinorrhea
305,F11.23,Opioid Withdrawal,diarrhea
306,F11.23,Opioid Withdrawal,fever
307,F11.23,Opioid Withdrawal,muscle aches
308,F11.23,Opioid Withdrawal,nausea vomiting
309,F11.23,Opioid Withdrawal,pupillary dilation piloerection sweating
310,F11.23,Opioid Withdrawal,administration opioid antagonist period opioid use
311,F11.23,Opioid Withdrawal,cessation reduction opioid use heavy prolonged e several weeks longer
312,F12.10,Cannabis Use Disorder,withdrawal manifested either following tolerance defined either following important social occupational recreational activities given reduced cannabis use
313,F12.288,Cannabis Withdrawal,restlessness
314,F12.288,Cannabis Withdrawal,nervousness anxiety
315,F12.288,Cannabis Withdrawal,depressed mood
316,F12.288,Cannabis Withdrawal,irritability anger aggression
317,F12.288,Cannabis Withdrawal,sleep difficulty e g insomnia disturbing dreams
318,F12.288,Cannabis Withdrawal,least one following physical symptoms causing significant discomfort abdominal pain shakiness tremors sweating fever chills headache
319,F12.288,Cannabis Withdrawal,decreased appetite weight loss
320,F12.288,Cannabis Withdrawal,cessation cannabis use heavy prolonged e usually daily almost daily use period least months
321,F15.929,Caffeine Intoxication,nervousness
322,F15.929,Caffeine Intoxication,excitement
323,F15.929,Caffeine Intoxication,periods inexhaustibility
324,F15.929,Caffeine Intoxication,psychomotor agitation
325,F15.929,Caffeine Intoxication,tachycardia cardiac arrhythmia
326,F15.929,Caffeine Intoxication,gastrointestinal disturbance
327,F15.929,Caffeine Intoxication,flushed face
328,F15.929,Caffeine Intoxication,episode muscle twitching
329,F15.929,Caffeine Intoxication,recent consumption caffeine typically high dose well excess 250 mg
330,F15.929,Caffeine Intoxication,rambling flow thought speech
331,F15.93,Caffeine Withdrawal,difficulty concentrating
332,F15.93,Caffeine Withdrawal,dysphoric mood depressed mood irritability
333,F15.93,Caffeine Withdrawal,marked fatigue drowsiness
334,F15.93,Caffeine Withdrawal,headache
335,F15.93,Caffeine Withdrawal,flu-like symptoms nausea vomiting muscle pain stiffness
336,F15.93,Caffeine Withdrawal,abrupt cessation reduction caffeine use followed within 24 hours three following signs symptoms prolonged daily use caffeine
337,F16.983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)",following cessation use hallucinogen reexperiencing one perceptual symptoms experienced intoxicated hallucinogen e g geometric hallucinations false perceptions movement peripheral visual fields flashes color intensified colors trails images moving objects positive afterimages halos around objects macropsia micropsia
338,F17.203,Tobacco Withdrawal,anxiety
339,F17.203,Tobacco Withdrawal,irritability frustration anger
340,F17.203,Tobacco Withdrawal,increased appetite
341,F17.203,Tobacco Withdrawal,abrupt cessation tobacco use reduction amount tobacco used followed within 24 hours four following signs symptoms daily use tobacco least several weeks
342,F19.239,Other (or Unknown) Substance Withdrawal,development substance-specific syndrome shortly cessation reduction substance use
343,F19.239,Other (or Unknown) Substance Withdrawal,cessation reduction use substance heavy prolonged
344,F20.81,Other developmental disorders of speech and language,disorganized speech e g frequent derailment incoherence
345,F20.81,Other developmental disorders of speech and language,delusions
346,F20.81,Other developmental disorders of speech and language,negative symptoms e diminished emotional expression avolition
347,F20.81,Other developmental disorders of speech and language,hallucinations
348,F20.81,Other developmental disorders of speech and language,grossly disorganized catatonic behavior
349,F20.81,Other developmental disorders of speech and language,schizoaffective disorder depressive bipolar disorder psychotic features ruled either 1 major depressive manic episodes occurred concurrently active-phase symptoms 2 mood episodes occurred active-phase symptoms present minority total duration active residual periods illness
350,F20.81,Other developmental disorders of speech and language,two following present significant portion time 1-month period less successfully treated least one must 1 2 3 episode disorder lasts least 1 month less 6 months diagnosis must made without waiting recovery qualified provisional
351,F20.9,Schizophrenia,significant portion time since onset disturbance level functioning one major areas work interpersonal relations self-care markedly level achieved prior onset onset childhood adolescence failure achieve expected level interpersonal academic occupational functioning
352,F20.9,Schizophrenia,two following present significant portion time 1-month period less successfully treated least one must 1 2 3 continuous signs disturbance persist least 6 months 6-month period must include least 1 month symptoms less successfully treated meet criterion e active-phase symptoms may include periods prodromal residual symptoms prodromal residual periods signs disturbance may manifested negative symptoms two symptoms listed criterion present attenuated form e g odd beliefs unusual perceptual experiences
353,F20.9,Schizophrenia,history autism spectrum disorder communication disorder childhood onset additional diagnosis schizophrenia made prominent delusions hallucinations addition required symptoms schizophrenia also present least 1 month less successfully treated
354,F21,Schizotypal Personality Disorder,pervasive pattern social interpersonal deficits marked acute discomfort reduced capacity close relationships well cognitive perceptual distortions eccentricities behavior beginning early adulthood present variety contexts indicated five following lack close friends confidants first-degree relatives
355,F21,Schizotypal Personality Disorder,suspiciousness paranoid ideation
356,F21,Schizotypal Personality Disorder,behavior appearance odd eccentric peculiar
357,F21,Schizotypal Personality Disorder,odd beliefs magical thinking influences behavior inconsistent subcultural norms e g superstitiousness belief clairvoyance telepathy sixth sense children adolescents bizarre fantasies preoccupations
358,F21,Schizotypal Personality Disorder,inappropriate constricted affect
359,F21,Schizotypal Personality Disorder,excessive social anxiety diminish familiarity tends associated paranoid fears rather negative judgments self
360,F21,Schizotypal Personality Disorder,unusual perceptual experiences including bodily illusions
361,F21,Schizotypal Personality Disorder,occur exclusively course schizophrenia bipolar disorder depressive disorder psychotic features another psychotic disorder autism spectrum disorder
362,F21,Schizotypal Personality Disorder,ideas reference excluding delusions reference
363,F21,Schizotypal Personality Disorder,odd thinking speech e g vague circumstantial metaphorical overelaborate stereotyped
364,F22,Delusional Disorder,apart impact delusion ramifications functioning markedly impaired behavior obviously bizarre odd
365,F22,Delusional Disorder,presence one delusions duration 1 month longer
366,F22,Delusional Disorder,criterion schizophrenia never met
367,F22,Delusional Disorder,manic major depressive episodes occurred brief relative duration delusional periods
368,F23,Brief Psychotic Disorder,duration episode disturbance least 1 day less 1 month eventual full return premorbid level functioning
369,F28,Other Specified Schizophrenia Spectrum and Other Psychotic Disorder,delusions significant overlapping mood episodes includes persistent delusions periods overlapping mood episodes present substantial portion delusional disturbance criterion stipulating brief mood disturbance delusional disorder met
370,F28,Other Specified Schizophrenia Spectrum and Other Psychotic Disorder,delusional symptoms partner individual delusional disorder context relationship delusional material dominant partner provides content delusional belief individual may otherwise entirely meet criteria delusional disorder
371,F28,Other Specified Schizophrenia Spectrum and Other Psychotic Disorder,persistent auditory hallucinations occurring absence features
372,F31.89,Other Specified Bipolar and Related Disorder,short-duration hypomanic episodes 23 days major depressive episodes lifetime history one major depressive episodes individuals whose presentation never met full criteria manic hypomanic episode experienced two episodes short-duration hypomania meet full symptomatic criteria hypomanic episode last 23 days episodes hypomanic symptoms overlap time major depressive episodes disturbance meet criteria major depressive episode mixed features
373,F34.0,Cyclothymic Disorder,2-year period 1 year children adolescents hypomanic depressive periods present least half time individual without symptoms 2 months time
374,F34.0,Cyclothymic Disorder,least 2 years least 1 year children adolescents numerous periods hypomanic symptoms meet criteria hypomanic episode numerous periods depressive symptoms meet criteria major depressive episode
375,F34.0,Cyclothymic Disorder,criteria major depressive manic hypomanic episode never met
376,F34.8,,temper outbursts inconsistent developmental level
377,F34.8,,criteria ad present 12 months throughout time individual period lasting 3 consecutive months without symptoms criteria ad
378,F34.8,,severe recurrent temper outbursts manifested verbally e g verbal rages behaviorally e g physical aggression toward people property grossly proportion intensity duration situation provocation
379,F34.8,,mood temper outbursts persistently irritable angry day nearly every day observable others e g parents teachers peers
380,F34.8,,temper outbursts occur average three times per week
381,F34.8,,diagnosis made first time age 6 years age 18 years
382,F34.8,,history observation age onset criteria ae 10 years
383,F34.8,,never distinct period lasting 1 day full symptom criteria except duration manic hypomanic episode met
384,F34.8,,criteria present least two three settings e home school peers severe least one
385,F34.8,,note diagnosis coexist oppositional defiant disorder intermittent explosive disorder bipolar disorder though coexist others including major depressive disorder attention-deficit hyperactivity disorder conduct disorder substance use disorders individuals whose symptoms meet criteria disruptive mood dysregulation disorder oppositional defiant disorder given diagnosis disruptive mood dysregulation disorder individual ever experienced manic hypomanic episode diagnosis disruptive mood dysregulation disorder assigned
386,F40.00,Agoraphobia,outside home alone
387,F40.00,Agoraphobia,using public transportation e g automobiles buses trains ships planes
388,F40.00,Agoraphobia,standing line crowd
389,F40.00,Agoraphobia,open spaces e g parking lots marketplaces bridges
390,F40.00,Agoraphobia,agoraphobic situations actively avoided require presence companion endured intense fear anxiety
391,F40.00,Agoraphobia,enclosed places e g shops theaters cinemas
392,F40.00,Agoraphobia,marked fear anxiety two following five situations agoraphobic situations almost always provoke fear anxiety
393,F40.00,Agoraphobia,individual fears avoids situations thoughts escape might difficult help might available event developing panic-like symptoms incapacitating embarrassing symptoms e g fear falling elderly fear incontinence
394,F40.10,Anxiety Disorder Due to Another Medical Condition,social situations avoided endured intense fear anxiety
395,F40.10,Anxiety Disorder Due to Another Medical Condition,marked fear anxiety one social situations individual exposed possible scrutiny others examples include social interactions e g conversation meeting unfamiliar people observed e g eating drinking performing front others e g giving speech
396,F40.10,Anxiety Disorder Due to Another Medical Condition,social situations almost always provoke fear anxiety
397,F40.10,Anxiety Disorder Due to Another Medical Condition,individual fears act way show anxiety symptoms negatively evaluated e humiliating embarrassing lead rejection offend others
398,F41.0,Panic Disorder,significant maladaptive change behavior related attacks e g behaviors designed avoid panic attacks avoidance exercise unfamiliar situations
399,F41.0,Panic Disorder,derealization feelings unreality depersonalization detached oneself
400,F41.0,Panic Disorder,fear dying
401,F41.0,Panic Disorder,fear losing control going crazy
402,F41.0,Panic Disorder,feelings choking
403,F41.0,Panic Disorder,persistent concern worry additional panic attacks consequences e g losing control heart attack going crazy
404,F41.0,Panic Disorder,recurrent unexpected panic attacks panic attack abrupt surge intense fear intense discomfort reaches peak within minutes time four following symptoms occur least one attacks followed 1 month one following sensations shortness breath smothering
405,F41.0,Panic Disorder,paresthesias numbness tingling sensations
406,F41.0,Panic Disorder,chest pain discomfort
407,F41.0,Panic Disorder,nausea abdominal distress
408,F41.0,Panic Disorder,chills heat sensations
409,F41.0,Panic Disorder,trembling shaking
410,F41.0,Panic Disorder,sweating
411,F41.0,Panic Disorder,palpitations pounding heart accelerated heart rate
412,F41.0,Panic Disorder,feeling dizzy unsteady light-headed faint
413,F41.1,Generalized Anxiety Disorder,anxiety worry physical symptoms cause clinically significant distress impairment social occupational important areas functioning
414,F41.1,Generalized Anxiety Disorder,difficulty concentrating mind going blank
415,F41.1,Generalized Anxiety Disorder,anxiety worry associated three following six symptoms least symptoms present days past 6months restlessness feeling keyed edge
416,F41.1,Generalized Anxiety Disorder,irritability
417,F41.1,Generalized Anxiety Disorder,individual finds difficult control worry
418,F41.1,Generalized Anxiety Disorder,excessive anxiety worry apprehensive expectation occurring days least 6 months number events activities work school performance
419,F41.1,Generalized Anxiety Disorder,easily fatigued
420,F41.1,Generalized Anxiety Disorder,sleep disturbance difficulty falling staying asleep restless unsatisfying sleep
421,F41.1,Generalized Anxiety Disorder,muscle tension
422,F41.8,Other Specified Anxiety Disorder,generalized anxiety occurring days
423,F41.8,Other Specified Anxiety Disorder,limited-symptom attacks
424,F41.8,Other Specified Anxiety Disorder,ataque de nervios attack nerves see glossary cultural concepts distress appendix
425,F41.8,Other Specified Anxiety Disorder,khyl cap wind attacks see glossary cultural concepts distress appendix
426,F43.0,Acute Stress Disorder,learning event occurred close family member close friend note cases actual threatened death family member friend event must violent accidental
427,F43.0,Acute Stress Disorder,exposure actual threatened death serious injury sexual violation one following ways note apply exposure electronic media television movies pictures unless exposure work related
428,F43.0,Acute Stress Disorder,witnessing person event occurred others
429,F43.8,Other Specified Trauma- and Stressor-Related Disorder,adjustment-like disorders prolonged duration 6 months without prolonged duration stressor
430,F43.8,Other Specified Trauma- and Stressor-Related Disorder,adjustment-like disorders delayed onset symptoms occur 3 months stressor
431,F44.0,Dissociative Amnesia,inability recall important autobiographical information usually traumatic stressful nature inconsistent ordinary forgetting
432,F44.0,Dissociative Amnesia,note dissociative amnesia often consists localized selective amnesia specific event events generalized amnesia identity life history
433,F44.89,Other Specified Dissociative Disorder,dissociative trance condition characterized acute narrowing complete loss awareness immediate surroundings manifests profound unresponsiveness insensitivity environmental stimuli unresponsiveness may accompanied minor stereotyped behaviors e g finger movements individual unaware control well transient paralysis loss consciousness dissociative trance normal part broadly accepted collective cultural religious practice
434,F44.89,Other Specified Dissociative Disorder,chronic recurrent syndromes mixed dissociative symptoms category includes identity disturbance associated less-than-marked discontinuities sense self agency alterations identity episodes possession individual reports dissociative amnesia
435,F44.89,Other Specified Dissociative Disorder,acute dissociative reactions stressful events category acute transient conditions typically last less 1 month sometimes hours days conditions characterized constriction consciousness depersonalization derealization perceptual disturbances e g time slowing macropsia micro-amnesias transient stupor alterations sensory-motor functioning e g analgesia paralysis
436,F44.89,Other Specified Dissociative Disorder,identity disturbance due prolonged intense coercive persuasion individuals subjected intense coercive persuasion e g brainwashing thought reform indoctrination captive torture long-term political imprisonment recruitment sects cults terror organizations may present prolonged changes conscious questioning identity
437,F45.8,Other Specified Somatic Symptom and Related Disorder,pseudocyesis false belief pregnant associated objective signs reported symptoms pregnancy
438,F45.8,Other Specified Somatic Symptom and Related Disorder,illness anxiety disorder without excessive health-related behaviors criterion illness anxiety disorder met
439,F48.1,Depersonalization/Derealization Disorder,symptoms cause clinically significant distress impairment social occupational important areas functioning
440,F48.1,Depersonalization/Derealization Disorder,depersonalization experiences unreality detachment outside observer respect ones thoughts feelings sensations body actions e g perceptual alterations distorted sense time unreal absent self emotional physical numbing
441,F48.1,Depersonalization/Derealization Disorder,depersonalization derealization experiences reality testing remains intact
442,F48.1,Depersonalization/Derealization Disorder,derealization experiences unreality detachment respect surroundings e g individuals objects experienced unreal dreamlike foggy lifeless visually distorted
443,F48.1,Depersonalization/Derealization Disorder,presence persistent recurrent experiences depersonalization derealization
444,F51.01,Insomnia Disorder,difficulty maintaining sleep characterized frequent awakenings problems returning sleep awakenings children may manifest difficulty returning sleep without caregiver intervention early-morning awakening inability return sleep
445,F51.01,Insomnia Disorder,difficulty initiating sleep children may manifest difficulty initiating sleep without caregiver intervention sleep difficulty occurs despite adequate opportunity sleep
446,F51.01,Insomnia Disorder,predominant complaint dissatisfaction sleep quantity quality associated one following symptoms sleep difficulty present least 3 months
447,F51.01,Insomnia Disorder,sleep difficulty occurs least 3 nights per week
448,F51.11,Hypersomnolence Disorder,difficulty fully awake abrupt awakening
449,F51.11,Hypersomnolence Disorder,hypersomnolence accompanied significant distress impairment cognitive social occupational important areas functioning
450,F51.11,Hypersomnolence Disorder,self-reported excessive sleepiness hypersomnolence despite main sleep period lasting least 7 hours least one following symptoms prolonged main sleep episode 9 hours per day nonrestorative e unrefreshing
451,F51.11,Hypersomnolence Disorder,hypersomnolence occurs least three times per week least 3 months
452,F51.11,Hypersomnolence Disorder,recurrent periods sleep lapses sleep within day
453,F51.5,Nightmare Disorder,nightmare symptoms attributable physiological effects substance e g drug abuse medication
454,F51.5,Nightmare Disorder,repeated occurrences extended extremely dysphoric well-remembered dreams usually involve efforts avoid threats survival security physical integrity generally occur second half major sleep episode
455,F51.5,Nightmare Disorder,awakening dysphoric dreams individual rapidly becomes oriented alert
456,F52.0,Male Hypoactive Sexual Desire Disorder,symptoms criterion persisted minimum duration approximately 6 months
457,F52.0,Male Hypoactive Sexual Desire Disorder,persistently recurrently deficient absent sexual erotic thoughts fantasies desire sexual activity judgment deficiency made clinician taking account factors affect sexual functioning age general sociocultural contexts individuals life
458,F52.21,Erectile Disorder,least one three following symptoms must experienced almost approximately 75 100 occasions sexual activity identified situational contexts generalized contexts marked decrease erectile rigidity
459,F52.21,Erectile Disorder,marked difficulty obtaining erection sexual activity
460,F52.21,Erectile Disorder,marked difficulty maintaining erection completion sexual activity
461,F52.22,Female Sexual Interest/Arousal Disorder,absent reduced sexual excitement pleasure sexual activity inalmost approximately 75 100 sexual encounters identified situational contexts generalized contexts
462,F52.22,Female Sexual Interest/Arousal Disorder,absent reduced genital nongenital sensations sexual activity inalmost approximately 75 100 sexual encounters identified situational contexts generalized contexts
463,F52.22,Female Sexual Interest/Arousal Disorder,lack significantly reduced sexual interest arousal manifested least three following absent reduced sexual erotic thoughts fantasies
464,F52.22,Female Sexual Interest/Arousal Disorder,absent reduced sexual interest arousal response internal external sexual erotic cues e g written verbal visual
465,F52.22,Female Sexual Interest/Arousal Disorder,absent reduced interest sexual activity
466,F52.22,Female Sexual Interest/Arousal Disorder,reduced initiation sexual activity typically unreceptive partners attempts initiate
467,F52.31,Female Orgasmic Disorder,presence either following symptoms experienced almost approximately 75 100 occasions sexual activity identified situational contexts generalized contexts markedly reduced intensity orgasmic sensations
468,F52.31,Female Orgasmic Disorder,marked delay marked infrequency absence orgasm
469,F52.32,Delayed Ejaculation,either following symptoms must experienced almost occasions approximately 75 100 partnered sexual activity identified situational contexts generalized contexts without individual desiring delay marked delay ejaculation
470,F52.32,Delayed Ejaculation,marked infrequency absence ejaculation
471,F52.4,Premature (Early) Ejaculation,symptom criterion must present least 6 months must experienced almost approximately 75 100 occasions sexual activity identified situational contexts generalized contexts
472,F52.4,Premature (Early) Ejaculation,persistent recurrent pattern ejaculation occurring partnered sexual activity within approximately 1 minute following vaginal penetration individual wishes
473,F52.6,Genito-Pelvic Pain/Penetration Disorder,marked fear anxiety vulvovaginal pelvic pain anticipation result vaginal penetration
474,F52.6,Genito-Pelvic Pain/Penetration Disorder,marked tensing tightening pelvic floor muscles attempted vaginal penetration
475,F52.6,Genito-Pelvic Pain/Penetration Disorder,marked vulvovaginal pelvic pain vaginal intercourse penetration attempts
476,F52.6,Genito-Pelvic Pain/Penetration Disorder,vaginal penetration intercourse
477,F54,Psychological Factors Affecting Other Medical Conditions,factors interfere treatment medical condition e g poor adherence
478,F54,Psychological Factors Affecting Other Medical Conditions,medical symptom condition mental disorder present
479,F54,Psychological Factors Affecting Other Medical Conditions,factors constitute additional well-established health risks individual
480,F54,Psychological Factors Affecting Other Medical Conditions,factors influenced course medical condition shown close temporal association psychological factors development exacerbation delayed recovery medical condition
481,F54,Psychological Factors Affecting Other Medical Conditions,factors influence underlying pathophysiology precipitating exacerbating symptoms necessitating medical attention
482,F60.0,Paranoid Personality Disorder,pervasive distrust suspiciousness others motives interpreted malevolent beginning early adulthood present variety contexts indicated four following reluctant confide others unwarranted fear information used maliciously
483,F60.0,Paranoid Personality Disorder,recurrent suspicions without justification regarding fidelity spouse sexual partner
484,F60.0,Paranoid Personality Disorder,suspects without sufficient basis others exploiting harming deceiving
485,F60.0,Paranoid Personality Disorder,occur exclusively course schizophrenia bipolar disorder depressive disorder psychotic features another psychotic disorder attributable physiological effects another medical condition
486,F60.0,Paranoid Personality Disorder,persistently bears grudges e unforgiving insults injuries slights
487,F60.0,Paranoid Personality Disorder,perceives attacks character reputation apparent others quick react angrily counterattack
488,F60.0,Paranoid Personality Disorder,reads hidden demeaning threatening meanings benign remarks events
489,F60.0,Paranoid Personality Disorder,preoccupied unjustified doubts loyalty trustworthiness friends associates
490,F60.3,Borderline Personality Disorder,pattern unstable intense interpersonal relationships characterized alternating extremes idealization devaluation
491,F60.3,Borderline Personality Disorder,frantic efforts avoid real imagined abandonment note include suicidal self-mutilating behavior covered criterion 5 chronic feelings emptiness
492,F60.3,Borderline Personality Disorder,affective instability due marked reactivity mood e g intense episodic dysphoria irritability anxiety usually lasting hours rarely days
493,F60.3,Borderline Personality Disorder,inappropriate intense anger difficulty controlling anger e g frequent displays temper constant anger recurrent physical fights
494,F60.3,Borderline Personality Disorder,impulsivity least two areas potentially self-damaging e g spending sex substance abuse reckless driving binge eating note include suicidal self-mutilating behavior covered criterion 5 identity disturbance markedly persistently unstable self-image sense self
495,F60.3,Borderline Personality Disorder,recurrent suicidal behavior gestures threats self-mutilating behavior
496,F60.3,Borderline Personality Disorder,transient stress-related paranoid ideation severe dissociative symptoms
497,F60.4,Histronic Personality Disorder,suggestible e easily influenced others circumstances
498,F60.4,Histronic Personality Disorder,style speech excessively impressionistic lacking detail
499,F60.4,Histronic Personality Disorder,considers relationships intimate actually
500,F60.4,Histronic Personality Disorder,displays rapidly shifting shallow expression emotions
501,F60.4,Histronic Personality Disorder,uncomfortable situations center attention
502,F60.4,Histronic Personality Disorder,shows self-dramatization theatricality exaggerated expression emotion
503,F60.4,Histronic Personality Disorder,consistently uses physical appearance draw attention self
504,F60.4,Histronic Personality Disorder,interaction others often characterized inappropriate sexually seductive provocative behavior
505,F60.6,Avoidant Personality Disorder,shows restraint within intimate relationships fear shamed ridiculed
506,F60.6,Avoidant Personality Disorder,avoids occupational activities involve significant interpersonal contact fears criticism disapproval rejection
507,F60.6,Avoidant Personality Disorder,unusually reluctant take personal risks engage new activities may prove embarrassing
508,F60.6,Avoidant Personality Disorder,preoccupied criticized rejected social situations
509,F60.6,Avoidant Personality Disorder,views self socially inept personally unappealing inferior others
510,F60.6,Avoidant Personality Disorder,inhibited new interpersonal situations feelings inadequacy
511,F60.6,Avoidant Personality Disorder,unwilling get involved people unless certain liked
512,F60.7,Dependent Personality Disorder,needs others assume responsibility major areas life
513,F60.7,Dependent Personality Disorder,urgently seeks another relationship source care support close relationship ends
514,F60.7,Dependent Personality Disorder,goes excessive lengths obtain nurturance support others point volunteering things unpleasant
515,F60.7,Dependent Personality Disorder,feels uncomfortable helpless alone exaggerated fears unable care
516,F60.7,Dependent Personality Disorder,unrealistically preoccupied fears left take care
517,F60.7,Dependent Personality Disorder,difficulty making everyday decisions without excessive amount advice reassurance others
518,F60.7,Dependent Personality Disorder,difficulty expressing disagreement others fear loss support approval note include realistic fears retribution difficulty initiating projects things lack self-confidence judgment abilities rather lack motivation energy
519,F60.81,Narcissistic Personality Disorder,interpersonally exploitative e takes advantage others achieve ends
520,F60.81,Narcissistic Personality Disorder,lacks empathy unwilling recognize identify feelings needs others
521,F60.81,Narcissistic Personality Disorder,believes special unique understood associate special high-status people institutions
522,F60.81,Narcissistic Personality Disorder,requires excessive admiration
523,F60.81,Narcissistic Personality Disorder,grandiose sense self-importance e g exaggerates achievements talents expects recognized superior without commensurate achievements
524,F60.81,Narcissistic Personality Disorder,shows arrogant haughty behaviors attitudes
525,F60.81,Narcissistic Personality Disorder,sense entitlement e unreasonable expectations especially favorable treatment automatic compliance expectations
526,F60.81,Narcissistic Personality Disorder,preoccupied fantasies unlimited success power brilliance beauty ideal love
527,F60.81,Narcissistic Personality Disorder,often envious others believes others envious
528,F63.0,Gambling Disorder,persistent recurrent problematic gambling behavior leading clinically significant impairment distress indicated individual exhibiting four following 12-month period jeopardized lost significant relationship job educational career opportunity gambling
529,F63.0,Gambling Disorder,relies others provide money relieve desperate financial situations caused gambling
530,F63.0,Gambling Disorder,lies conceal extent involvement gambling
531,F63.0,Gambling Disorder,restless irritable attempting cut stop gambling
532,F63.0,Gambling Disorder,needs gamble increasing amounts money order achieve desired excitement
533,F63.0,Gambling Disorder,losing money gambling often returns another day get even chasing ones losses
534,F63.0,Gambling Disorder,made repeated unsuccessful efforts control cut back stop gambling
535,F63.0,Gambling Disorder,often gambles feeling distressed e g helpless guilty anxious depressed
536,F63.0,Gambling Disorder,often preoccupied gambling e g persistent thoughts reliving past gambling experiences handicapping planning next venture thinking ways get money gamble
537,F63.1,Pyromania,tension affective arousal act
538,F63.1,Pyromania,fascination interest curiosity attraction fire situational contexts e g paraphernalia uses consequences
539,F63.1,Pyromania,deliberate purposeful fire setting one occasion
540,F63.1,Pyromania,fire setting better explained conduct disorder manic episode antisocial personality disorder
541,F63.1,Pyromania,pleasure gratification relief setting fires witnessing participating aftermath
